artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Paul Cook & The Chronicles,1KhLTOeAPRHmT16Mr72l7B,15,[],Somebody Else,2qnjtP7wQE9aTAyNc6dkRJ,Somebody Else,6JoUxWzMwApE7qA7Ox8Lus,18,0.545,0.581,2,-5.427,1,0.0253,0.396,0.00288,0.121,0.533,125.019,172455,3,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Saguru,61qZ7es6fFlppv6I1r32V8,24,[german indie folk],In Bloom,2qtvbKMkCHTmSd15sYRle0,Deep In Thought,5tXRNagoYF26YfKjNtU5zV,13,0.454,0.479,2,-12.782,1,0.0263,0.0893,0.0777,0.124,0.151,85.972,181467,3,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Your Dog Don't Like You,0xsxTQz5hpv4hbFE0o1NeH,8,0.297,0.708,10,-6.395,1,0.0436,0.00974,0,0.154,0.454,196.024,195609,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Uselessness,473VGSYPoNyavS6Tav8Lzu,8,0.535,0.723,11,-6.769,1,0.0841,0.00805,8.29E-05,0.282,0.414,97.918,190166,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Beers on Mars,2hJBSqynKtWkWI99klFF7m,8,0.589,0.594,11,-9.409,1,0.0316,0.000646,1.03E-05,0.155,0.66,118.009,252290,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Ethansroom,0obyulaZmmOhiSsnYIfHne,21,[nashville indie],Action Movie,3bDGc8NJulXePx6qy0hrtp,Action Movie,7HMmKavxufquTUKvXar1BO,26,0.759,0.392,1,-7.689,1,0.0342,0.0101,0,0.0773,0.765,105.023,150500,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Angel Envy,57AhJWbf5WEuhUp9b2gIVT,11,[],Forlorn Cactus,5A2WTniJVKQcB74bRgKTzx,Forlorn Cactus,6BC8PmH2Hs9FxanfAQgGKe,21,0.606,0.596,11,-7.242,1,0.026,0.00406,0.00631,0.197,0.569,94.989,204092,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Brother Bird,6QRcVji67cTbSEfjAC43YC,29,[],Sleep it Off,6jCmtR63BR7kLx4UotWP3y,Sleep it Off,1dp3L4RsP70L6SYSSMy8zV,38,0.597,0.523,3,-7.183,1,0.0286,0.139,0.121,0.137,0.0945,124.043,215507,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Gallows,0WSa7bAAogEBGv6Agk1soO,7,0.6,0.402,6,-12.513,0,0.0611,0.479,0.00236,0.0858,0.385,148.832,186738,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
John Jin Han,5bUZA6A9fh1mx9APanxlbl,42,"[christian lo-fi, christian pop]",Feel This Way,6lGinDWSZaJaF07BvA4wVQ,Feel This Way,4ePECd9ostSeOCaqm0X81r,30,0.578,0.393,7,-9.595,1,0.0267,0.514,0.00283,0.0882,0.24,124.027,411000,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Capital Soiree,1sd5vbMAYXlLoJNTQfY0HV,29,[],More Like You,6crYUbxNTiCN3MovOTr2Z1,More Like You,5TeabdwQz2grGx5xwC7bXm,19,0.428,0.864,1,-4.933,1,0.0539,0.00683,0,0.367,0.461,167.967,148000,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
VILLFORTH,5zZFUqzTf5EItusaDuzmXG,30,[],December,2uULhhPjXPeJNMmaZI0Zvn,December,5qh15SEMEPH06DDPjMtYvl,33,0.698,0.579,4,-9.051,1,0.0362,0.372,2.30E-05,0.188,0.465,130.015,202523,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Planet Ibiza,2f0fVIP8exBDlW5SHhKosW,11,[],M.E.D.H.A.N.E,0fZylHERuG8nsPWONb4Nel,M.E.D.H.A.N.E,1T4Hsrz5yQiSsqO3CiRjdF,21,0.642,0.461,6,-10.686,1,0.039,0.0813,0.247,0.209,0.179,120.032,205541,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
David Gramberg,234SSNe2H52Mww78ur9bmL,37,[],Where Have You Gone,3kzEQojNmIdRokCwmT7fB8,Where Have You Gone,3l2wwLqeyBSTqagz5m6RxM,25,0.404,0.54,0,-7.064,1,0.039,0.345,0.00085,0.141,0.298,116.945,169750,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Good Time,5pTftzNTvBNNhV2M9fcyPZ,7,0.559,0.622,2,-7.742,1,0.0414,0.123,0.104,0.0877,0.513,129.991,262008,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Heat of the Moment,0aHe0Q7lUyaaA88qkwErnM,7,0.44,0.72,3,-8.372,1,0.0326,0.000907,0.000628,0.0798,0.397,96.973,249840,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Juliana Eye,6Cfibszw4vzU6T6VgEwxM6,2,[],WASTED YOUTH,3kKziHeTvDqe2onWS653rq,WASTED YOUTH,2loKvV4Esyz9vKD7FmxYUY,7,0.435,0.741,0,-6.476,1,0.0892,0.0163,1.70E-05,0.134,0.556,172.015,213488,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Daylight,4Z9HXTesepUQrYPv3ZUNQk,7,0.773,0.558,1,-7.248,0,0.029,0.062,5.18E-06,0.094,0.682,122.975,225724,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Laura Lang,5xzzJosUrZ0Eff6pRrpUvR,12,[],Bad Luck,7EDHnUVIpvkDQtM70LPC4V,Slow Burn,2sFGEtQyBO0oebnr1PY7rg,7,0.474,0.633,0,-6.38,1,0.0368,0.33,9.02E-06,0.101,0.0916,134.882,194360,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Gert Taberner,3Jy7XwrGPgOEq4OxRODWbf,38,[],Functional,13FdeDCNLdPVwWC2LC0NaI,Functional,2FqswdEeXwPDhLdLUnim7d,28,0.595,0.275,5,-10.954,1,0.0311,0.916,0.000107,0.111,0.141,134.88,247844,3,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Cedars of Lebanon,0UPdNI8dVDgoqaagx78VmX,19,[],Josef,6bLXtq377jPMgEg4QCwnmd,Josef,3A5AjYJCt9QKLSZA0zyWFv,15,0.323,0.669,7,-6.64,1,0.0366,0.0324,1.11E-06,0.0624,0.16,130.113,210316,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Rock / Alt Compilation: March 2023,2jYAyFnU1j39P7dQ5vhE7u,Headstone,0ns2B6b8ywrRaQhNu8Ey2e,6,0.518,0.412,9,-10.88,1,0.0304,0.222,0.0265,0.221,0.0521,114.928,421973,3,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Michael Barrow & the Tourists,1mhe70fSiQDyc16JVlhBUE,29,[utah indie],Clover,1aKUDayJYD8jylsH5BIlej,Y.O.U.,6NCXZp2MdoKvoO6k9NRanL,26,0.677,0.737,7,-7.013,1,0.0522,0.0261,0.00114,0.123,0.888,90.984,233207,4,Indie/Rock/Alt Compilation - February 2023 (alexrainbirdMusic)
Hills x Hills,4WQXjloYdAvQregUNv1XYp,35,[],By Your Side,5ipluvLbVh8f93K5QtDvOa,By Your Side,6AYGHywPn0FNAxhAs3GKye,23,0.595,0.606,1,-8.962,1,0.0354,0.203,0.618,0.136,0.354,98.044,230800,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Freight Train Foxes,2kX9CiUl1AAvmXGU3lFHDZ,24,[modern indie folk],Oh My Girl,0knw7jhAOQjxnO1NFUjPAu,Oh My Girl,4I9m841IBnWopBL5DA1Z6z,28,0.669,0.739,9,-6.916,0,0.0458,0.128,0.00111,0.21,0.609,144.979,168393,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Jolé,293DzAwiQQs4mkeOzQ6lOu,50,"[indie folk, modern indie folk]",Let Go,7wAy9EaMfQUuNSmFhqvua0,Let Go,5qLgzDazbnPRP6VStc30uE,27,0.522,0.62,1,-7.693,0,0.027,0.682,0.0389,0.122,0.488,156.092,184113,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Tom Speight,02U4dXZhGSo07f66l8JZ91,53,"[indie folk, indiecoustica, viral pop]",If This Is How the Story Ends,2bUx5iPiy8jsRdg6E3Yct3,If This Is How the Story Ends,3CTtwgmCZjyxolyuDFLpIx,28,0.62,0.383,6,-9.468,0,0.0345,0.809,0.0045,0.0929,0.393,78.028,175320,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
